custom_id,custom_name,set_count,custom_muscles,custom_source,canonical_id,canonical_name,canonical_muscles,canonical_source,action,notes
CUSTOM:Kettlebell_Swings,Kettlebell Swings,100,16,google_ai_overview,CANONICAL:ARNOLD:KB_SWING_2H,Kettlebell Swing,0,,"MERGE_TO_CANONICAL","Use canonical ID, keep CUSTOM muscle data, add 'Kettlebell Swings' as alias"
CUSTOM:Kickboxing,Kickboxing,72,17,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise - no equivalent exists"
CUSTOM:Sandbag_Overhead_Hold,Sandbag Overhead Hold,66,16,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise - no equivalent exists"
CUSTOM:Trap-Bar_Static_Hold,Trap-Bar Static Hold,56,9,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise - no equivalent exists"
CUSTOM:Weighted_Pull-Up,Weighted Pull-Up,52,12,google_ai_overview,EXERCISE:Weighted_Pull_Ups,Weighted Pull Ups,3,free-exercise-db,"MERGE_TO_CANONICAL","Keep CUSTOM muscle data (better), add alias"
CUSTOM:AirDyne,AirDyne,40,14,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise - cardio equipment"
CUSTOM:Sandbag_Push_Press,Sandbag Push Press,35,15,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise - no equivalent exists"
CUSTOM:Trap_Bar_Romanian_Deadlift,Trap Bar Romanian Deadlift,34,11,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise - equipment variant"
CUSTOM:Prone_Y-Raises,Prone Y-Raises,24,8,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Mixed_Load_Farmer_Carry,Mixed Load Farmer Carry,23,18,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise - asymmetric variant"
CUSTOM:Box_Step-Up,Box Step-Up,22,9,google_ai_overview,EXERCISE:Step-up,Step-up,3,free-exercise-db,"KEEP_SEPARATE","DECIDED: Box specifies equipment - separate from generic step-up"
CUSTOM:Sternum_Pull-Up,Sternum Pull-Up,22,12,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Bear-Hug_Static_Hold,Bear-Hug Static Hold,21,11,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Kneeling_Ab_Wheel,Kneeling Ab Wheel,21,10,google_ai_overview,EXERCISE:Ab_Roller,Ab Roller,3,free-exercise-db,"MERGE_TO_CANONICAL","Same exercise different name - add alias"
CUSTOM:Weighted_Dead_Hang,Weighted Dead Hang,20,12,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Rowing_Machine,Rowing Machine,19,13,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","Cardio equipment"
CUSTOM:Sandbag_Box_Squat,Sandbag Box Squat,19,12,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Viking_Press,Viking Press,19,11,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","Strongman exercise"
CUSTOM:Plank_with_Weighted_Reach-Throughs,Plank with Weighted Reach-Throughs,18,11,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Duffel_Row,Duffel Row,17,12,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Goblet_Squat_Hold,Goblet Squat Hold,17,17,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise - isometric variant"
CUSTOM:Sandbag_Floor_Press,Sandbag Floor Press,17,10,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:One-Arm_Dead_Hang,One-Arm Dead Hang,16,8,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Sandbag_Overhead_Carry,Sandbag Overhead Carry,15,17,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Elbow_Plank,Elbow Plank,14,12,google_ai_overview,EXERCISE:Plank,Plank,5,free-exercise-db,"KEEP_SEPARATE","DECIDED: Forearm plank is different from straight-arm plank"
CUSTOM:Scap_Push-Up,Scap Push-Up,14,9,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Gladiator_Squat,Gladiator Squat,13,13,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise - landmine variant"
CUSTOM:Sandbag_Strict_Press,Sandbag Strict Press,13,14,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Boxing,Boxing,12,18,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","Activity/sport"
CUSTOM:Farmer_Carry,Farmer Carry,12,14,google_ai_overview,EXERCISE:Farmers_Walk,Farmers Walk,3,free-exercise-db,"MERGE_TO_CANONICAL","Same exercise, different name - add alias"
CUSTOM:KB_V-Sit_Pass-Over,KB V-Sit Pass-Over,12,8,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Side_Plank_Crunches,Side Plank Crunches,12,7,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Sledgehammer_Tire_Slams,Sledgehammer Tire Slams,11,16,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Suitcase_Carry,Suitcase Carry,11,13,google_ai_overview,EXERCISE:Suitcase_Carry,Suitcase Carry,0,,"MERGE_TO_CANONICAL","Exact match exists"
CUSTOM:Sandbag_Row,Sandbag Row,10,11,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Helms_Row,Helms Row,9,5,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Jefferson_Curl,Jefferson Curl,9,7,google_ai_overview,EXERCISE:Jefferson_Squat,Jefferson Squat,4,free-exercise-db,"KEEP_SEPARATE","Different exercises despite similar name"
CUSTOM:Sandbag_Good_Morning,Sandbag Good Morning,9,5,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Sandbag_March,Sandbag March,9,13,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Turkish_Get-Up,Turkish Get-Up,9,19,google_ai_overview,EXERCISE:Turkish_Get-Up,Turkish Get-Up,6,free-exercise-db,"MERGE_TO_CANONICAL","Exact match - keep CUSTOM muscle data"
CUSTOM:Pallof_Press,Pallof Press,8,11,google_ai_overview,EXERCISE:Pallof_Press,Pallof Press,4,free-exercise-db,"MERGE_TO_CANONICAL","Exact match - keep CUSTOM muscle data"
CUSTOM:Shoulder_Dislocate,Shoulder Dislocate,8,9,google_ai_overview,CANONICAL:FFDB:347,Resistance Band Shoulder Dislocates,3,functional-fitness-db,"PROMOTE_TO_CANONICAL","DECIDED: Keep as equipment-agnostic exercise"
CUSTOM:Side-Lying_Clamshells,Side-Lying Clamshells,8,5,google_ai_overview,EXERCISE:Clam,Clam,1,free-exercise-db,"MERGE_TO_CANONICAL","Same exercise - add alias"
CUSTOM:Overhead_Keg_Walk,Overhead Keg Walk,7,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Sandbag_Suitcase_Carry,Sandbag Suitcase Carry,7,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Scapular_Pull-Up,Scapular Pull-Up,7,10,google_ai_overview,EXERCISE:Scapular_Pull-Up,Scapular Pull-Up,3,free-exercise-db,"MERGE_TO_CANONICAL","Exact match - keep CUSTOM muscle data"
CUSTOM:Side_Plank_Bag_Slide,Side Plank Bag Slide,7,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Elevated_Push-up,Elevated Push-up,6,0,,EXERCISE:Decline_Push-Up,Decline Push-Up,3,free-exercise-db,"KEEP_SEPARATE","DECIDED: Different exercises"
CUSTOM:Monster_Walk,Monster Walk,6,0,,EXERCISE:Monster_Walk,Monster Walk,1,free-exercise-db,"MERGE_TO_CANONICAL","Exact match"
CUSTOM:One-Arm_DB_Row,One-Arm DB Row,6,0,,EXERCISE:One-Arm_Dumbbell_Row,One-Arm Dumbbell Row,5,free-exercise-db,"MERGE_TO_CANONICAL","Same exercise - add alias"
CUSTOM:Paused_Bench_Press,Paused Bench Press,6,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise - tempo variant"
CUSTOM:Push-Up_to_Downward_Dog,Push-Up to Downward Dog,6,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Quad_Extension,Quad Extension,6,0,,EXERCISE:Leg_Extensions,Leg Extensions,1,free-exercise-db,"MERGE_TO_CANONICAL","Same exercise - add alias"
CUSTOM:Ring_Pull-Up,Ring Pull-Up,6,0,,CANONICAL:FFDB:788,Ring Pull Up,1,functional-fitness-db,"MERGE_TO_CANONICAL","Exact match"
CUSTOM:Sandbag_Toss,Sandbag Toss,6,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Straight-Arm_Plank,Straight-Arm Plank,6,0,,EXERCISE:Plank,Plank,5,free-exercise-db,"MERGE_TO_CANONICAL","DECIDED: This IS the regular plank (vs forearm/elbow plank)"
CUSTOM:Thread-the-Needle,Thread-the-Needle,6,0,,EXERCISE:Thread_the_Needle,Thread the Needle,0,free-exercise-db,"MERGE_TO_CANONICAL","Exact match"
CUSTOM:Active_Hang,Active Hang,5,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Boat_Pose_KB_Leg_Swing,Seated Straight Leg Swing Over Object,5,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Cat-Cow,Cat-Cow,5,0,,EXERCISE:Cat_Stretch,Cat Stretch,0,free-exercise-db,"MERGE_TO_CANONICAL","Same mobility drill - add alias"
CUSTOM:Diaphragmatic_Breathing,Diaphragmatic Breathing,5,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise - breathing"
CUSTOM:Jump_Rope,Jump Rope,5,0,,EXERCISE:Rope_Jumping,Rope Jumping,1,free-exercise-db,"MERGE_TO_CANONICAL","Same exercise - add alias"
CUSTOM:Plank_to_Shoulder_Tap,Plank to Shoulder Tap,5,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Sandbag_Get-Up,Sandbag Get-Up,5,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Bear-Hug_Step-Over,Bear-Hug Step-Over,4,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Child_Pose,Child Pose,4,0,,EXERCISE:Childs_Pose,Childs Pose,0,free-exercise-db,"MERGE_TO_CANONICAL","Same exercise - add alias"
CUSTOM:Frog-Leg_Crunches,Frog-Leg Crunches,4,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Hollow_Rock,Hollow Rock,4,0,,EXERCISE:Rocky_Pull-Ups_Pulldowns,Rocky Pull-Ups/Pulldowns,4,free-exercise-db,"KEEP_SEPARATE","Different exercises"
CUSTOM:Infinite_Rope,Infinite Rope,4,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise - equipment"
CUSTOM:Log_Overhead_Lockout,Log Overhead Lockout,4,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Plank_with_Weighted_Drag,Plank with Weighted Drag,4,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Pull-Up,Pull-Up,4,0,,EXERCISE:Pullups,Pullups,5,free-exercise-db,"MERGE_TO_CANONICAL","Same exercise - add alias"
CUSTOM:Tabata_Drill,Tabata Drill,4,0,,,,0,,"PROTOCOL_NOT_EXERCISE","DECIDED: Protocol not exercise - needs different modeling"
CUSTOM:Arched_Hang,Arched Hang,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Bearhug_Squat-to-Stand,Bearhug Squat-to-Stand,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Burpee_Dumbbell_Deadlift,Burpee Dumbbell Deadlift,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Front_Rack_Walking_Lunge,Front-Rack Walking Lunge,3,0,,CANONICAL:FFDB:2206,Double Kettlebell Front Rack Walking Lunge,3,functional-fitness-db,"PROMOTE_TO_CANONICAL","DECIDED: Equipment-agnostic is separate"
CUSTOM:Gladiator_Dumbbell_Deadlifts,Gladiator Dumbbell Deadlifts,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Goblet_Squat_Curl_Combo,Goblet Squat Curl Combo,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Hip_Circles,Hip Circles,3,0,,EXERCISE:Hip_Circles_(Prone),Hip Circles (Prone),0,free-exercise-db,"PROMOTE_TO_CANONICAL","DECIDED: Standing vs prone are different"
CUSTOM:Hip_Swing,Hip Swing,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Hollow_Hold,Hollow Hold,3,0,,EXERCISE:Hollow_Hold,Hollow Hold,0,free-exercise-db,"MERGE_TO_CANONICAL","Exact match"
CUSTOM:Keg_Strict_Press,Keg Strict Press,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Kneeling_Hip_Flexor_Stretch,Kneeling Hip Flexor Stretch,3,0,,EXERCISE:Kneeling_Hip_Flexor,Kneeling Hip Flexor,0,free-exercise-db,"MERGE_TO_CANONICAL","Same exercise"
CUSTOM:Landmine_Anti-Rotation_Press,Landmine Anti-Rotation Press,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Push-Up_with_Sandbag_Drag,Push-Up with Sandbag Drag,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Resistance_Band_Lateral_Walks,Resistance Band Lateral Walks,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Rock-Up,Rock-Up,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Sandbag_Squat_Clean,Sandbag Squat Clean,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Seated_Curl-Bar_Press,Seated Curl-Bar Press,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Standing_Forward_Fold,Standing Forward Fold,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Standing_Hamstring_Stretch,Standing Hamstring Stretch,3,0,,EXERCISE:Standing_Hamstring_Stretch,Standing Hamstring Stretch,0,free-exercise-db,"MERGE_TO_CANONICAL","Exact match"
CUSTOM:Supine_Spinal_Twist,Supine Spinal Twist,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Trap_Bar_Deadlift_RDL_Combo,Trap Bar Deadlift RDL Combo,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Trap-Bar_Row,Trap-Bar Row,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Two-Handed_Pehl_Row,Two-Handed Pehl Row,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:V-Up,V-Up,3,0,,EXERCISE:V-Up,V-Up,0,free-exercise-db,"MERGE_TO_CANONICAL","Exact match"
CUSTOM:Wall_Slides,Wall Slides,3,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Weighted_Push-Ups,Weighted Push-Ups,3,0,,EXERCISE:Weighted_Push-Ups,Weighted Push-Ups,0,free-exercise-db,"MERGE_TO_CANONICAL","Exact match"
CUSTOM:Wood_Splitting,Wood Splitting,3,0,,,,0,,"PROMOTE_TO_CANONICAL","Activity"
CUSTOM:90-90_Hip_Switch,90-90 Hip Switch,2,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Arm_Swings,Arm Swings,2,0,,EXERCISE:Arm_Circles,Arm Circles,0,free-exercise-db,"PROMOTE_TO_CANONICAL","DECIDED: Swings vs circles are different movements"
CUSTOM:Bent-Over_Plate_Row,Bent-Over Plate Row,2,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Eccentric_Reverse_Curl,Eccentric Reverse Curl,2,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Jumping_Jack,Jumping Jack,2,0,,EXERCISE:Jumping_Jacks,Jumping Jacks,1,free-exercise-db,"MERGE_TO_CANONICAL","Same exercise"
CUSTOM:KB_Good_Morning,KB Good Morning,2,0,,CANONICAL:FFDB:494,Kettlebell Good Morning,3,functional-fitness-db,"MERGE_TO_CANONICAL","Same exercise - add alias"
CUSTOM:KB_Halo,KB Halo,2,0,,CANONICAL:FFDB:507,Kettlebell Halo,2,functional-fitness-db,"MERGE_TO_CANONICAL","Same exercise - add alias"
CUSTOM:Neural_Floss,Neural Floss,2,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Prone_W-Y_Lifts,Prone W-Y Lifts,2,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Push-Up_Plank_Combo,Push-Up Plank Combo,2,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Ring_Tuck_L-Sit,Ring Tuck L-Sit,2,0,,CANONICAL:FFDB:1620,Ring Tuck L Sit,1,functional-fitness-db,"MERGE_TO_CANONICAL","Exact match"
CUSTOM:Rope_Pulley_Pull,Rope Pulley Pull,2,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Sandbag_Crush_Press,Sandbag Crush Press,2,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Sandbag_Gator_Roll,Sandbag Gator Roll,2,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Sandbag_Zercher_Squat,Sandbag Zercher Squat,2,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Seated_Sandbag_Squat_Hold,Seated Sandbag Squat Hold,2,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Sternum_to_Bar_Isometric_Hold,Sternum-to-Bar Isometric Hold,2,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Thoracic_Extensions,Thoracic Extensions,2,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Tucked_Hang,Tucked Hang,2,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Wall_Angels,Wall Angels,2,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Chain_Overhead_Press,Chain Overhead Press,1,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Club_Swinging,Club Swinging,1,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Cossack_Squat,Cossack Squat,1,0,,CANONICAL:FFDB:1217,Bodyweight Cossack Squat,3,functional-fitness-db,"MERGE_TO_CANONICAL","Same exercise"
CUSTOM:Dynamic_Lunges,Dynamic Lunges,1,0,,EXERCISE:Lunges_-_Walking,Lunges - Walking,3,free-exercise-db,"PROMOTE_TO_CANONICAL","DECIDED: Dynamic vs walking are different"
CUSTOM:Floor_Angels,Floor Angels,1,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Glute_Bridges,Glute Bridges,1,0,,EXERCISE:Glute_Bridge,Glute Bridge,2,free-exercise-db,"MERGE_TO_CANONICAL","Same exercise"
CUSTOM:Hip_Hinge,Hip Hinge,1,0,,,,0,,"PROMOTE_TO_CANONICAL","Movement pattern drill"
CUSTOM:Isometric_Push-Up_Hold,Isometric Push-Up Hold,1,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Kickboxing_-_Heavy_Bag,Kickboxing - Heavy Bag,1,0,,CUSTOM:Kickboxing,Kickboxing,17,google_ai_overview,"MERGE_TO_KICKBOXING","Merge with Kickboxing - same activity"
CUSTOM:Neutral-Grip_Hang_Knees-Up,Neutral-Grip Hang Knees-Up,1,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Overhead_Strict_Press,Overhead Strict Press,1,0,,EXERCISE:Standing_Military_Press,Standing Military Press,3,free-exercise-db,"MERGE_TO_CANONICAL","Same exercise - add alias"
CUSTOM:Pigeon_Pose,Pigeon Pose,1,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Quad_Raise,Quad Raise,1,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Sand_Duffle_Strict_Press,Sand Duffle Strict Press,1,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Sandbag_Clean,Sandbag Clean,1,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Sandbag_Seat-to-Stand_Lift,Sandbag Seat-to-Stand Lift,1,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Single-Leg_Toe_Touches,Single-Leg Toe Touches,1,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Spiderman_Lunges,Spiderman Lunges,1,0,,EXERCISE:Spiderman_Crawl,Spiderman Crawl,3,free-exercise-db,"PROMOTE_TO_CANONICAL","DECIDED: Lunge vs crawl are different"
CUSTOM:Spinal_Decompression,Spinal Decompression,1,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Standing_Quad_Stretch,Standing Quad Stretch,1,0,,EXERCISE:Standing_Quadriceps_Stretch,Standing Quadriceps Stretch,0,free-exercise-db,"MERGE_TO_CANONICAL","Same exercise"
CUSTOM:Strict_Press,Strict Press,1,0,,EXERCISE:Standing_Military_Press,Standing Military Press,3,free-exercise-db,"MERGE_TO_CANONICAL","Same exercise - add alias"
CUSTOM:Supine_Knees-to-Chest,Supine Knees-to-Chest,1,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Thoracic_Rotations,Thoracic Rotations,1,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Tricep_Dips,Tricep Dips,1,0,,EXERCISE:Dips_-_Triceps_Version,Dips - Triceps Version,4,free-exercise-db,"MERGE_TO_CANONICAL","Same exercise"
CUSTOM:Weighted_Plank,Weighted Plank,1,0,,EXERCISE:Weighted_Plank,Weighted Plank,0,free-exercise-db,"MERGE_TO_CANONICAL","Exact match"
CUSTOM:Wheelbarrow_Carry,Wheelbarrow Carry,1,0,,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Yoga_Flow,Yoga Flow,1,0,,,,0,,"PROMOTE_TO_CANONICAL","Activity"
CUSTOM:Kettlebell_Deadlift,Kettlebell Deadlift,0,0,,CANONICAL:FFDB:573,Double Kettlebell Deadlift,4,functional-fitness-db,"MERGE_TO_CANONICAL","Same exercise"
