interval_id,hr_peak,hrr60_abs,hrr120_abs,r2_recorded,slope_90_120,slope_90_120_r2,hr_at_90,hr_at_120,hr_change_90_120,slope_60_90,hr_std_90_120
9,158,19,39,0.895,-0.3742,0.836,131.0,122.0,-9.0,-0.2593,3.66
10,166,19,34,0.972,-0.3673,0.8722,142.0,134.0,-8.0,-0.3129,3.52
11,171,14,22,0.902,-0.5101,0.8632,159.0,148.0,-11.0,0.0831,4.91
15,158,14,29,0.931,-0.5137,0.986,145.0,129.0,-16.0,0.0492,4.63
16,166,11,28,0.907,-0.6714,0.9737,154.0,138.0,-16.0,0.0282,6.09
17,170,11,16,0.93,-0.0242,0.2419,154.0,153.0,-1.0,-0.156,0.44
24,155,19,25,0.718,0.0024,0.0004,132.0,130.0,-2.0,-0.1484,1.12
26,159,25,39,0.957,-0.3339,0.5918,132.0,119.0,-13.0,-0.0069,3.88
27,136,16,15,0.961,0.1177,0.2375,114.0,121.0,7.0,-0.1565,2.16
29,145,18,28,0.947,-0.304,0.6875,122.0,116.0,-6.0,-0.1488,3.28
38,130,16,22,0.837,-0.5109,0.9401,121.0,108.0,-13.0,-0.0218,3.5
39,159,15,29,0.98,-0.2004,0.9244,151.0,144.0,-7.0,-0.3262,1.86
41,140,27,31,0.965,-0.0605,0.186,110.0,108.0,-2.0,-0.081,1.25
53,164,19,38,0.966,-0.4359,0.9251,135.0,126.0,-9.0,-0.3383,4.05
54,166,20,40,0.99,-0.4617,0.82,139.0,125.0,-14.0,-0.1665,4.56
58,169,9,24,0.979,-0.4234,0.946,157.0,144.0,-13.0,-0.0637,3.89
64,177,13,31,0.754,-0.3677,0.8611,174.0,164.0,-10.0,-0.1069,3.54
65,137,9,14,0.966,-0.0965,0.807,124.0,122.0,-2.0,-0.0556,0.87
66,138,14,19,0.498,0.0105,0.0192,121.0,121.0,0.0,-0.644,0.68
73,166,11,37,0.955,-0.9105,0.9301,150.0,129.0,-21.0,-0.1843,8.44
81,105,16,13,0.947,0.0593,0.3351,91.0,92.0,1.0,0.0778,0.92
90,152,13,13,0.908,0.0661,0.3445,137.0,139.0,2.0,-0.0673,1.01
102,163,17,32,0.893,-0.1819,0.437,135.0,131.0,-4.0,-0.3274,2.46
103,166,15,27,0.985,-0.1206,0.5337,140.0,139.0,-1.0,-0.4335,1.48
116,152,25,24,0.989,0.0597,0.295,127.0,128.0,1.0,0.0315,0.98
117,162,26,40,0.985,-0.3569,0.9617,132.0,121.0,-11.0,-0.0911,3.25
121,166,9,12,0.761,-0.046,0.7125,155.0,154.0,-1.0,-0.0702,0.49
122,165,20,32,0.982,-0.2552,0.9244,139.0,132.0,-7.0,-0.1629,2.37
124,112,20,37,0.619,-0.5125,0.9574,90.0,75.0,-15.0,0.0202,4.68
126,149,13,17,0.891,-0.027,0.0327,133.0,131.0,-2.0,-0.1343,1.34
134,146,18,17,0.964,0.0383,0.1679,128.0,129.0,1.0,0.0431,0.84
138,164,13,20,0.901,-0.4242,0.5379,141.0,139.0,-2.0,-0.3343,5.17
148,136,21,33,0.988,-0.0472,0.0412,107.0,102.0,-5.0,-0.148,2.08
151,167,20,34,0.918,-0.4367,0.6409,141.0,133.0,-8.0,-0.1556,4.88
155,162,18,30,0.923,-0.2419,0.8462,152.0,144.0,-8.0,-0.3625,2.35
157,158,18,23,0.975,-0.3145,0.9698,150.0,140.0,-10.0,-0.2746,2.86
165,139,17,25,0.913,-0.1407,0.3201,118.0,114.0,-4.0,-0.1843,2.22
170,128,11,12,0.982,0.0161,0.0126,114.0,116.0,2.0,-0.0524,1.28
172,169,15,24,0.98,-0.1802,0.9569,150.0,145.0,-5.0,-0.1181,1.65
173,138,28,38,0.975,-0.0948,0.3976,105.0,100.0,-5.0,-0.2065,1.34
176,152,17,32,0.736,-0.3895,0.7468,127.0,119.0,-8.0,-0.2456,4.03
185,163,9,17,0.761,-0.1488,0.7157,149.0,147.0,-2.0,-0.1605,1.57
193,116,14,22,0.96,-0.0718,0.444,97.0,94.0,-3.0,-0.2198,0.96
212,150,14,22,0.909,-0.2149,0.8085,134.0,128.0,-6.0,-0.0859,2.14
223,98,9,9,0.386,0.0524,0.213,87.0,89.0,2.0,-0.056,1.02
225,116,12,34,0.83,-0.2258,0.8326,108.0,101.0,-7.0,-0.2661,2.21
260,148,10,25,0.808,-0.4653,0.7191,135.0,123.0,-12.0,-0.0911,4.91
261,153,25,35,0.989,0.0964,0.6698,115.0,118.0,3.0,-0.4815,1.05
262,132,11,25,0.936,-0.3379,0.8239,117.0,106.0,-11.0,-0.1069,3.33
268,133,20,31,0.983,-0.2899,0.8723,108.0,102.0,-6.0,-0.1806,2.78
269,128,11,27,0.852,-0.2407,0.7318,110.0,101.0,-9.0,-0.2395,2.52
275,168,13,28,0.774,-0.1472,0.7184,147.0,143.0,-4.0,-0.5774,1.55
276,168,14,28,0.693,-0.3476,0.8447,149.0,138.0,-11.0,-0.5919,3.38
288,132,9,23,0.867,-0.0319,0.0301,113.0,109.0,-4.0,-0.3653,1.64
299,114,14,27,0.958,-0.3238,0.8624,95.0,88.0,-7.0,-0.1774,3.12
301,99,13,17,0.946,0.1093,0.6253,79.0,82.0,3.0,-0.277,1.24
308,121,12,16,0.908,0.0101,0.0372,105.0,105.0,0.0,-0.1226,0.47
318,127,25,25,0.989,-0.2065,0.5715,104.0,101.0,-3.0,0.0774,2.44
320,139,26,43,0.955,-0.4819,0.9429,108.0,95.0,-13.0,-0.0512,4.44
321,117,16,21,0.974,-0.2012,0.5922,98.0,96.0,-2.0,-0.0407,2.34
323,124,10,32,0.777,-0.6597,0.9713,110.0,93.0,-17.0,-0.2089,5.99
326,125,21,30,0.995,-0.1419,0.7489,99.0,95.0,-4.0,-0.1052,1.47
327,124,14,25,0.859,-0.146,0.57,102.0,99.0,-3.0,-0.2262,1.73
341,152,11,17,0.866,-0.0121,0.1042,136.0,135.0,-1.0,-0.1238,0.34
356,153,15,30,0.944,-0.1827,0.7854,130.0,122.0,-8.0,-0.2339,1.84
359,142,12,31,0.741,-0.0351,0.1609,111.0,111.0,0.0,-0.7282,0.78
373,171,17,41,0.898,-0.3286,0.9491,140.0,130.0,-10.0,-0.4444,3.02
